code,vebs,clip_status
37600198776,0.37,text_simulated
11110826497,0.4888,clip_real
23923320017,0.5014,clip_real
33776100308,0.4869,clip_real
27064571031,0.42,text_simulated
16291442375,0.42,text_simulated
35971802025,0.42,text_simulated
39047001404,0.4794,clip_real
11150046251,0.42,text_simulated
13000656320,0.42,text_simulated
30684020537,0.42,text_simulated
21140181275,0.42,text_simulated
11150040211,0.5,text_simulated
20728709030,0.42,text_simulated
72220008586,0.42,text_simulated
11150982641,0.42,text_simulated
8005125193,0.42,text_simulated
33400721756,0.4958,clip_real
33776100889,0.42,text_simulated
41415342439,0.42,text_simulated
36632018779,0.4,text_simulated
36800051140,0.4835,clip_real
24182011586,0.42,text_simulated
41000022975,0.4918,clip_real
35742221116,0.42,text_simulated
36800093072,0.5,text_simulated
11535501337,0.37,text_simulated
41000344060,0.45,text_simulated
41190049325,0.42,text_simulated
23882197637,0.42,text_simulated
22852417102,0.42,text_simulated
35826094582,0.4845,clip_real
25317656009,0.5087,clip_real
39215,0.42,text_simulated
41244006434,0.4729,clip_real
39047018136,0.4851,clip_real
41420477294,0.42,text_simulated
12511305000,0.4823,clip_real
24182021660,0.42,text_simulated
11150511193,0.42,text_simulated
41190046867,0.42,text_simulated
11150950077,0.5,text_simulated
11150980593,0.42,text_simulated
25317532006,0.4888,clip_real
25317005913,0.5112,clip_real
41497096275,0.42,text_simulated
11213523644,0.42,text_simulated
22014110407,0.42,text_simulated
13609020546,0.42,text_simulated
20662005434,0.42,text_simulated
41000273643,0.45,text_simulated
24000367024,0.4814,clip_real
20662003942,0.5119,clip_real
13764027312,0.42,text_simulated
21908476230,0.42,text_simulated
13130006989,0.4725,clip_real
29737103396,0.42,text_simulated
15400196901,0.42,text_simulated
39217044224,0.42,text_simulated
16000409972,0.4687,clip_real
36800422230,0.42,text_simulated
30223042051,0.42,text_simulated
11213033792,0.45,text_simulated
41270025072,0.42,text_simulated
609900114,0.42,text_simulated
16073123454,0.494,clip_real
12000012785,0.4909,clip_real
20526012288,0.42,text_simulated
11150074025,0.42,text_simulated
36800389663,0.42,text_simulated
41190012695,0.42,text_simulated
36731135513,0.4792,clip_real
23545211229,0.42,text_simulated
23923320116,0.486,clip_real
39047001077,0.42,text_simulated
11150998420,0.42,text_simulated
36800420397,0.499,clip_real
41318300512,0.42,text_simulated
41000214042,0.4768,clip_real
41000022593,0.4954,clip_real
21000057122,0.42,text_simulated
39978009906,0.42,text_simulated
30223006343,0.5,text_simulated
28190007814,0.4846,clip_real
24335160062,0.42,text_simulated
21000005208,0.42,text_simulated
21908743295,0.5059,clip_real
12511801335,0.42,text_simulated
13413796293,0.42,text_simulated
41000321764,0.5,text_simulated
22506002005,0.5069,clip_real
24182029505,0.42,text_simulated
41420108136,0.42,text_simulated
34538837654,0.42,text_simulated
120623,0.4811,clip_real
127135,0.42,text_simulated
41190042579,0.42,text_simulated
36800422117,0.4905,clip_real
28190001416,0.4731,clip_real
12000012754,0.4889,clip_real
41220997251,0.45,text_simulated
11150479516,0.42,text_simulated
23923200043,0.42,text_simulated
36800107922,0.5017,clip_real
36800405455,0.4997,clip_real
36800049734,0.42,text_simulated
12511446529,0.498,clip_real
19646005348,0.42,text_simulated
26396908256,0.4916,clip_real
32601025526,0.42,text_simulated
23254111155,0.42,text_simulated
11213515083,0.45,text_simulated
17873705178,0.42,text_simulated
11535504765,0.45,text_simulated
41303046210,0.5,text_simulated
39059551034,0.5,text_simulated
25293001060,0.5,text_simulated
21908632087,0.5131,clip_real
24182021509,0.5045,clip_real
41000142130,0.5,text_simulated
21908504018,0.42,text_simulated
30871004500,0.4884,clip_real
31493060653,0.5015,clip_real
30684016974,0.42,text_simulated
37272089013,0.42,text_simulated
15400191067,0.42,text_simulated
27328910019,0.42,text_simulated
15400190015,0.42,text_simulated
33776017712,0.42,text_simulated
41268169429,0.42,text_simulated
35826024732,0.42,text_simulated
19646005065,0.42,text_simulated
13562002603,0.4831,clip_real
39978038524,0.42,text_simulated
26395780167,0.42,text_simulated
41000008641,0.4938,clip_real
14821195555,0.4866,clip_real
25317323000,0.4992,clip_real
20662005830,0.42,text_simulated
460938714,0.4792,clip_real
21908455594,0.4861,clip_real
36800046252,0.5017,clip_real
41303008256,0.42,text_simulated
39217023021,0.5018,clip_real
36200223024,0.4865,clip_real
25484000292,0.42,text_simulated
41000072390,0.5,text_simulated
23933653242,0.42,text_simulated
36800336070,0.42,text_simulated
41415086081,0.42,text_simulated
20500017094,0.42,text_simulated
24335304206,0.42,text_simulated
11535505809,0.42,text_simulated
23923202092,0.4857,clip_real
22506003873,0.5054,clip_real
22506677890,0.5025,clip_real
21908455525,0.5019,clip_real
11150734769,0.5,text_simulated
30568115298,0.4894,clip_real
36800012059,0.5,text_simulated
41190460373,0.42,text_simulated
18894123262,0.37,text_simulated
31142526752,0.5022,clip_real
36800418226,0.37,text_simulated
31142001334,0.5,text_simulated
22655829263,0.5,text_simulated
12000012730,0.4904,clip_real
37600132831,0.5037,clip_real
31506330278,0.42,text_simulated
13562000869,0.42,text_simulated
11194365349,0.42,text_simulated
41497094639,0.45,text_simulated
35844145754,0.42,text_simulated
12511211356,0.42,text_simulated
21130048892,0.42,text_simulated
19646005461,0.42,text_simulated
32601089337,0.42,text_simulated
13562491612,0.42,text_simulated
41220908851,0.42,text_simulated
23923206038,0.4854,clip_real
11150001076,0.42,text_simulated
27568060871,0.37,text_simulated
41420411229,0.42,text_simulated
41196138634,0.485,clip_real
39047001312,0.4793,clip_real
34000722099,0.55,text_simulated
41415377431,0.42,text_simulated
11150180535,0.45,text_simulated
31493082006,0.42,text_simulated
20735112427,0.42,text_simulated
13562300129,0.42,text_simulated
22506165052,0.5137,clip_real
19063012769,0.5,text_simulated
25293003637,0.42,text_simulated
32601901868,0.42,text_simulated
15400196314,0.42,text_simulated
41000119767,0.4845,clip_real
36800087040,0.42,text_simulated
36800177413,0.42,text_simulated
31493060578,0.42,text_simulated
12993112035,0.42,text_simulated
41220021819,0.42,text_simulated
30684700880,0.42,text_simulated
41318210576,0.32,text_simulated
36800056091,0.42,text_simulated
11150021050,0.42,text_simulated
11213031705,0.37,text_simulated
41318171471,0.42,text_simulated
36800114302,0.5,text_simulated
19063232334,0.5,text_simulated
35826076410,0.4877,clip_real
36800389700,0.5024,clip_real
11150272513,0.42,text_simulated
20735112021,0.4998,clip_real
41449450193,0.42,text_simulated
21718412169,0.4987,clip_real
41190008940,0.5,text_simulated
21985220238,0.42,text_simulated
35826058836,0.42,text_simulated
19521550079,0.5027,clip_real
39047017689,0.4845,clip_real
23547400218,0.4733,clip_real
20700411005,0.42,text_simulated
30223004233,0.42,text_simulated
12993112028,0.5,text_simulated
41318290431,0.45,text_simulated
41190576098,0.42,text_simulated
41253001857,0.4947,clip_real
25317006958,0.4987,clip_real
11110503329,0.42,text_simulated
41190459544,0.42,text_simulated
24335162264,0.5,text_simulated
34856881230,0.42,text_simulated
39045192029,0.27,text_simulated
20662000217,0.42,text_simulated
11110849397,0.5032,clip_real
11150511186,0.42,text_simulated
12005000589,0.4872,clip_real
41220021826,0.42,text_simulated
36800079427,0.4747,clip_real
34500140089,0.4941,clip_real
41497099672,0.42,text_simulated
20601409354,0.42,text_simulated
41188048132,0.42,text_simulated
20487007200,0.42,text_simulated
290906,0.4927,clip_real
32251055461,0.55,text_simulated
36800151246,0.5005,clip_real
17600083067,0.42,text_simulated
13087218220,0.42,text_simulated
