code,product_name,brands,greenwash_label,clip_score,ecs
11110826497,Extra Cherry Mixed Fruit In Natural Cherry Flavored Light Syrup,Kroger,Low,0.4888,0.5
23923320017,"Organic Baby Food Puree, Pear Carrot Apricot",Earth's Best,Medium,0.5014,0.625
33776100308,"Natural Rich Roast Peanut Butter & Oil Blend, Creamy",Smart Balance,Low,0.4869,0.5
39047001404,Pure Butter : Shortbread Rounds,"Walkers, Walkers Shortbread Ltd",Low,0.4794,0.25
33400721756,"Healthy Harvest, Whole Wheat Pasta & Ancient Grains","Ronzoni,  New World Pasta Company",Low,0.4958,0.625
36800051140,Shredded Mozzarella Natural Cheese,Food Club,Low,0.4835,0.125
41000022975,Fettuccini & Broccoli In A Chicken Flavored Sauce With Other Natural Flavor,Unilever,Medium,0.4918,0.0
35826094582,Sugar Free Syrup,Food Town Stores Inc.,High,0.4845,0.0
25317656009,Uncured Organic Genoa Salami,Applegate Organics,Low,0.5087,0.125
41244006434,"Martinelli's, Gold Medal, Organic Apple Juice",S. Martinelli & Co.,Low,0.4729,1.0
39047018136,Pure Butter Scottie Dogs Shortbread,Walkers,Low,0.4851,0.5
12511305000,Organic Sucanat Dehydrated Cane Juice,Wholesome,Low,0.4823,0.75
25317532006,The Great Organic Uncured Beef Hot Dog,Applegate,Low,0.4888,0.625
25317005913,"Naturals, Breakfast Sausage Patties, Chicken & Maple",Applegate,Low,0.5112,0.0
24000367024,Mandarin Orange,"Del Monte,  Del Monte Foods",Low,0.4814,0.0
20662003942,Organic Lite Balsamic Vinaigrette,Newman's Own,Low,0.5119,0.5
13130006989,"Hot Cereal, Gluten Free",Cream Of Rice,Low,0.4725,0.0
16000409972,Party Rainbow Chip cake mix,"Betty Crocker,General Mills",High,0.4687,0.0
16073123454,"Just Great Stuff, The Original Powdered Organic Peanut Butter",Betty Lou's Inc.,Low,0.494,0.75
12000012785,"Diet Green Tea, Citrus Flavor With Other Natural Flavors","Lipton,  Unilever",High,0.4909,0.0
36731135513,Hojuelas de avena natural,Quaker,Low,0.4792,1.0
23923320116,Organic Apple Peach Oatmeal Fruit & Grain Puree,Earth's Best,Medium,0.486,0.625
36800420397,"Organic Granola, Oat & Honey","Full Circle Market,  Topco Associates Llc",Low,0.499,0.875
41000214042,"Oreo, Frozen Oreo Dessert Bar, Naturally And Artificially Flavored","Good Humor,  Unilever",Medium,0.4768,0.0
41000022593,Rice & Pasta Blend In A Savory Sauce With Carrots & Peas,Unilever,Low,0.4954,0.0
28190007814,"Healthy Pop, Microwave Pop Corn Bags, Butter",Jolly Time,Low,0.4846,0.5
21908743295,Organic Cinnamon Raisin Granola,"Cascadian Farm,  Small Planet Foods  Inc.",Low,0.5059,0.625
22506002005,Organic Coconut Oil,"Spectrum,  The Hain Celestial Group  Inc.",Low,0.5069,0.875
120623,"Sweet Potato, Parsnip and Beetroot Hand Cooked Vegetable Crisps","Marks & Spencer,Marks and Spencer",Low,0.4811,0.0
36800422117,"Organic Toasted Oats Cereal, Honey Nuts",Full Circle,Medium,0.4905,0.625
28190001416,Healthy Pop Kettle Corn,Jolly Time,Medium,0.4731,0.375
12000012754,"Green Tea, Citrus Flavor With Other Natural Flavors","Lipton,  Unilever",High,0.4889,0.0
36800107922,Organic Whole Milk,"Full Circle Market,  Topco Associates  Inc.",Low,0.5017,0.75
36800405455,"Organic, Homestyle Waffles","Full Circle,  Full Circle Organic",Low,0.4997,0.625
12511446529,Organic Dark  Brown Sugar,Wholesome Sweeteners  Inc.,Low,0.498,0.875
26396908256,"Naturally Probiotic Kimchi, Original",Seoul,Low,0.4916,0.625
21908632087,"Organic Raspberry Fruit Spread, Raspberry","Cascadian Farm,  Small Planet Foods  Inc.",Low,0.5131,0.875
24182021509,Organic Whole Grain Quinoa,Eden,Low,0.5045,0.875
30871004500,Gluten Free Baked Tofu,Pulmuone Foods Usa  Inc.,Low,0.4884,0.625
